iter	Passed	Remaining
0	1	122
1	2	122
2	3	107
3	3	95
4	4	87
5	5	84
6	6	81
7	6	77
8	7	78
9	9	83
10	10	88
11	11	85
12	12	84
13	13	84
14	14	83
15	15	83
16	17	84
17	18	83
18	18	80
19	19	78
20	20	77
21	21	76
22	22	75
23	23	73
24	24	72
25	25	71
26	25	70
27	26	68
28	27	67
29	28	65
30	28	64
31	29	63
32	31	63
33	32	62
34	32	61
35	33	59
36	34	58
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	39	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	48	38
56	50	37
57	50	36
58	51	35
59	52	35
60	53	34
61	54	33
62	55	32
63	55	31
64	56	30
65	57	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	24
72	62	23
73	63	22
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	67	16
80	68	15
81	68	15
82	69	14
83	70	13
84	70	12
85	71	11
86	72	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	76	5
93	77	4
94	78	4
95	78	3
96	79	2
97	80	1
98	80	0
99	81	0
