iter	Passed	Remaining
0	141	140917
1	142	71062
2	143	47829
3	145	36297
4	147	29326
5	149	24738
6	150	21403
7	152	18895
8	153	16929
9	155	15369
10	157	14188
11	159	13105
12	160	12177
13	161	11375
14	162	10671
15	163	10082
16	165	9568
17	166	9083
18	167	8646
19	168	8249
20	169	7887
21	170	7564
22	171	7286
23	172	7015
24	173	6758
25	174	6525
26	175	6312
27	175	6108
28	176	5920
29	177	5745
30	178	5592
31	179	5437
32	180	5291
33	181	5152
34	182	5019
35	182	4892
36	183	4770
37	184	4659
38	184	4556
39	185	4459
40	186	4363
41	187	4270
42	187	4180
43	188	4094
44	189	4013
45	189	3934
46	190	3858
47	190	3786
48	191	3717
49	192	3653
50	193	3591
51	193	3530
52	194	3471
53	195	3417
54	195	3363
55	196	3309
56	196	3257
57	197	3206
58	198	3158
59	198	3111
60	199	3068
61	200	3029
62	200	2989
63	201	2949
64	202	2911
65	203	2874
66	203	2837
67	204	2801
68	205	2768
69	205	2734
70	206	2702
71	207	2677
72	208	2649
73	209	2618
74	209	2589
75	210	2560
76	211	2532
77	211	2504
78	212	2476
79	213	2449
80	213	2424
81	214	2402
82	215	2378
83	215	2354
84	216	2331
85	217	2308
86	217	2287
87	218	2266
88	219	2245
89	219	2224
90	220	2204
91	221	2185
92	222	2167
93	223	2151
94	223	2132
95	224	2114
96	225	2096
97	225	2078
98	226	2061
99	227	2044
100	227	2026
101	228	2009
102	229	1994
103	230	1983
104	230	1968
105	231	1952
106	232	1936
107	232	1921
108	233	1906
109	233	1891
110	234	1876
111	234	1862
112	235	1847
113	236	1834
114	236	1822
115	237	1811
116	238	1797
117	238	1785
118	239	1772
119	240	1760
120	240	1747
121	241	1735
122	241	1723
123	242	1711
124	242	1699
125	243	1688
126	243	1676
127	244	1666
128	245	1657
129	246	1646
130	246	1636
131	247	1625
132	247	1615
133	248	1605
134	248	1595
135	249	1585
136	250	1575
137	250	1566
138	251	1557
139	252	1550
140	253	1542
141	253	1532
142	254	1523
143	254	1514
144	255	1505
145	255	1497
146	256	1488
147	257	1479
148	257	1470
149	258	1462
150	258	1454
151	259	1448
152	260	1440
153	260	1432
154	261	1424
155	261	1417
156	262	1409
157	263	1402
158	263	1394
159	264	1387
160	264	1378
161	265	1371
162	265	1364
163	266	1358
164	267	1352
165	268	1346
166	268	1340
167	269	1333
168	269	1326
169	270	1320
170	270	1313
171	271	1306
172	272	1300
173	272	1294
174	273	1288
175	274	1282
176	274	1277
177	275	1271
178	275	1265
179	276	1259
180	277	1254
181	277	1248
182	278	1242
183	278	1236
184	279	1230
185	279	1225
186	280	1219
187	281	1214
188	282	1210
189	282	1205
190	283	1199
191	283	1194
192	284	1189
193	284	1183
194	285	1178
195	286	1173
196	286	1168
197	287	1163
198	287	1158
199	288	1153
200	289	1150
201	290	1145
202	290	1141
203	291	1136
204	291	1131
205	292	1126
206	292	1122
207	293	1117
208	294	1113
209	294	1108
210	295	1104
211	296	1100
212	297	1097
213	297	1093
214	298	1089
215	298	1084
216	299	1080
217	299	1075
218	300	1071
219	300	1067
220	301	1062
221	302	1058
222	302	1054
223	303	1050
224	304	1047
225	304	1044
226	305	1040
227	305	1036
228	306	1032
229	307	1027
230	307	1024
